3.63+0i,0.0471875894276406-0.0216369760009141i
3.64+0i,0.0450717791880517-0.0358587553529712i
3.65+0i,0.0447531109288304-0.0159695075481788i
3.66+0i,0.0519286635203697-0.0355685981900145i
3.67+0i,0.046230987754622-0.0245016635226628i
3.68+0i,0.0485396239865305-0.0271027636170347i
3.69+0i,0.0422846667555015-0.0335472202301448i
3.7+0i,0.042454894957333-0.0203797307629006i
3.71+0i,0.0435653299857926-0.0350973056763647i
3.72+0i,0.0406899514316877-0.0172919149242394i
3.73+0i,0.0467066735123297-0.0313473823802243i
3.74+0i,0.0406419096715178-0.0271830242473482i
3.75+0i,0.0432262407882869-0.0210618947067791i
3.76+0i,0.042178770031138-0.0305397016273502i
3.77+0i,0.0430515270910275-0.0147236770911419i
3.78+0i,0.0458118238646007-0.0354385072943736i
3.79+0i,0.0400641480988468-0.0201428826754317i
3.8+0i,0.0452217521478608-0.0228467691742935i
3.81+0i,0.0415853543432782-0.0292125445182586i
3.82+0i,0.04441859216433-0.0198543613359442i
3.83+0i,0.04465768136183-0.0371767745736849i
3.84+0i,0.0424539689004085-0.0189348115947407i
3.85+0i,0.0461923570737288-0.0303859005747023i
3.86+0i,0.0404396152441711-0.0258503683263158i
3.87+0i,0.0466337593910821-0.0234662410538846i
3.88+0i,0.0434716988305517-0.0336832027614296i
3.89+0i,0.0425699148020492-0.0183374064270455i
3.9+0i,0.0447151678357118-0.0356158439144281i
3.91+0i,0.0401924672381316-0.0187737798982301i
3.92+0i,0.0468776290154623-0.0247015451245437i
3.93+0i,0.0414960278408845-0.0295918271059765i
3.94+0i,0.0426239611289822-0.0198624698081515i
3.95+0i,0.0420088756948111-0.0357223960976577i
3.96+0i,0.0415719174429412-0.0173527601372675i
3.97+0i,0.046086563708621-0.032856217367763i
3.98+0i,0.037598375076897-0.0252853393544476i
3.99+0i,0.0428234209232403-0.019442344965576i
4+0i,0.0396146671161989-0.0318711807501647i
4.01+0i,0.0389987852614725-0.0176714681100185i
4.02+0i,0.0443319864769747-0.0345547627281295i
4.03+0i,0.0417576492329201-0.0191046494687603i
4.04+0i,0.0471761255351628-0.0255026658986598i
4.05+0i,0.0425688950651775-0.0289963387481713i
4.06+0i,0.0446097815101875-0.0183321725722785i
4.07+0i,0.0432392615219042-0.0342094750696597i
4.08+0i,0.0405414755917455-0.0171783894326743i
4.09+0i,0.0457462881475397-0.0324794338376903i
4.1+0i,0.0401466887667598-0.0225368093742085i
4.11+0i,0.0458706047118366-0.0212325194894025i
4.12+0i,0.0442167182129665-0.0334749818028174i
4.13+0i,0.0441313644786534-0.0160927606236614i
4.14+0i,0.0450036176740218-0.0339935168958759i
4.15+0i,0.0399022294468487-0.0190445483058084i
4.16+0i,0.0466098136391031-0.029318674893866i
4.17+0i,0.0399639763834145-0.0296562991603406i
4.18+0i,0.0423424870948926-0.0166235093001696i
4.19+0i,0.0426360328039087-0.0343637328255544i
4.2+0i,0.0413724576486837-0.0160391460544856i
4.21+0i,0.0455142366900666-0.0303512665570859i
4.22+0i,0.0386570383490009-0.0218566318680954i
4.23+0i,0.0453267299987298-0.0201077109479539i
4.24+0i,0.0400690694874116-0.0309370534777392i
4.25+0i,0.0416135582294377-0.016519949861678i
4.26+0i,0.0479581769926312-0.0363651333248829i
4.27+0i,0.0409788233484441-0.0196709613648146i
4.28+0i,0.0468809877546196-0.0280661964789435i
4.29+0i,0.0418973763545436-0.0288555229813354i
4.3+0i,0.0433410492040473-0.0184990568029981i
